"strain","date"
"Sequence_1",2018-02-24
"Sequence_2",2018-02-13
"Sequence_3",2018-03-13
"Sequence_4",2018-01-13
"Sequence_5",2018-03-21
"Sequence_6",2018-03-22
"Sequence_7",2018-01-25
"Sequence_8",2018-02-19
"Sequence_9",2018-01-30
"Sequence_10",2018-03-03
"Sequence_11",2018-03-05
"Sequence_12",2018-02-10
"Sequence_13",2018-02-11
"Sequence_14",2018-03-23
"Sequence_15",2018-03-16
"Sequence_16",2018-01-19
"Sequence_17",2018-04-06
"Sequence_18",2018-03-09
"Sequence_19",2018-01-11
"Sequence_20",2018-02-15
